source_name,source_type,source_url,country,region,language
AzerNews,rss,https://www.azernews.az/rss.xml,Azerbaijan,central-asia,english
Astana Times,rss,https://astanatimes.com/feed/,Kazakhstan,central-asia,english
AKIpress,rss,https://akipress.com/rss/,Kyrgyzstan,central-asia,english
24.kg,rss,https://24.kg/rss/,Kyrgyzstan,central-asia,russian
Eurasianet,rss,https://eurasianet.org/feed,Regional,central-asia,english
Times of Central Asia,rss,https://timesca.com/feed/,Regional,central-asia,english
Tajikistan Times,rss,https://tajikistantimes.tj/feed/,Tajikistan,central-asia,english
Turkmen Portal,rss,https://turkmenportal.com/en/rss,Turkmenistan,central-asia,english
UzDaily,rss,https://www.uzdaily.com/rss/,Uzbekistan,central-asia,english
Global Times,rss,https://www.globaltimes.cn/rss/outbrain.xml,China,east-asia,english
People's Daily English,rss,http://en.people.cn/rss/politics.xml,China,east-asia,english
South China Morning Post,rss,https://www.scmp.com/rss/91/feed,Hong Kong,east-asia,english
Japan Times,rss,https://www.japantimes.co.jp/feed/topstories/,Japan,east-asia,english
NHK World,rss,https://www3.nhk.or.jp/rss/news/cat0.xml,Japan,east-asia,english
Nikkei Asia,rss,https://asia.nikkei.com/rss,Japan,east-asia,english
Asahi Shimbun,rss,https://www.asahi.com/rss/asahi/newsheadlines.rdf,Japan,east-asia,japanese
Mainichi Shimbun,rss,https://mainichi.jp/rss/etc/mainichi-flash.rss,Japan,east-asia,japanese
Chosun Ilbo,rss,https://english.chosun.com/rss,South Korea,east-asia,english
JoongAng Ilbo,rss,https://koreajoongangdaily.joins.com/rss,South Korea,east-asia,english
Korea Herald,rss,http://www.koreaherald.com/rss,South Korea,east-asia,english
